epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.393,2.07231,3.89448,2.17078,0.00596,0.52645,0.02972,0.00866,2.40732,4.89566,2.70927,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804
2,272.419,1.84183,3.785,2.00585,0.70971,0.0428,0.04515,0.01665,2.10934,4.5778,2.54558,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543
3,395.838,1.74959,3.58549,1.9377,0.08542,0.16365,0.08448,0.03612,1.91725,4.57695,2.3504,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681
4,519.093,1.69754,3.38717,1.91227,0.1546,0.19709,0.1712,0.07719,1.94057,4.54165,2.36856,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,642.437,1.66259,3.16271,1.88473,0.45009,0.29894,0.26438,0.12102,1.81267,4.79051,2.27582,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,764.876,1.64848,2.94596,1.87467,0.41053,0.39245,0.30938,0.1443,1.78849,6.69474,2.26412,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,887.323,1.63505,2.80207,1.85824,0.47154,0.42089,0.32893,0.15094,1.78832,6.84372,2.25544,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,1010.28,1.59278,2.64259,1.82292,0.31618,0.55245,0.39344,0.17943,1.73071,4.73314,2.16517,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,1132.88,1.57417,2.5698,1.80903,0.31296,0.57837,0.40864,0.17899,1.75478,5.08909,2.15359,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,1280.46,1.54611,2.48416,1.77863,0.31947,0.57515,0.41075,0.19234,1.63994,5.41803,2.04061,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
