epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,242.553,2.07352,3.9187,2.17534,0.00615,0.51189,0.02476,0.00977,2.31548,4.88446,2.72366,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804
2,450.122,1.84801,3.787,2.01745,0.87214,0.02807,0.06881,0.02777,2.03656,4.54094,2.43759,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543
3,654.17,1.71514,3.59357,1.92316,0.40822,0.14968,0.11077,0.04636,1.91142,4.43084,2.34202,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681
4,4254.5,1.6679,3.35948,1.91119,0.51326,0.14548,0.20426,0.08889,1.86215,4.13292,2.29609,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,4528.15,1.6506,3.1349,1.8857,0.21856,0.4741,0.28547,0.13273,1.82308,5.18804,2.26474,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,4804.65,1.64129,2.87808,1.8711,0.3036,0.41592,0.33596,0.15085,1.77636,7.82623,2.22018,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,5081,1.61944,2.73658,1.84374,0.26938,0.58995,0.3479,0.15516,1.8577,6.29958,2.31382,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,5356.68,1.58138,2.62976,1.82185,0.2605,0.60477,0.39606,0.18791,1.67309,7.02565,2.13317,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,5633.01,1.56361,2.54676,1.80152,0.29799,0.5557,0.39376,0.1744,1.77267,5.80367,2.12801,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,5909.96,1.54998,2.46951,1.79582,0.38755,0.53642,0.43028,0.20241,1.66399,5.98351,2.06835,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,6185.98,1.53261,2.41478,1.78892,0.34339,0.55962,0.42854,0.19644,1.67924,4.68576,2.1305,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,6461.94,1.50525,2.40535,1.76896,0.35728,0.60424,0.43736,0.20951,1.65005,5.01423,2.09054,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,6739.68,1.50971,2.30688,1.75145,0.39168,0.64432,0.47093,0.21936,1.63189,3.95601,2.08089,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,7016.57,1.48247,2.30725,1.74324,0.44782,0.60486,0.50197,0.24036,1.60888,3.91589,2.03026,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,7294.68,1.46703,2.22705,1.72436,0.40104,0.55433,0.44191,0.20753,1.68168,4.36343,2.10268,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,7571.68,1.47068,2.2086,1.71714,0.47419,0.63392,0.53082,0.25076,1.62862,3.93182,2.06862,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,7848.55,1.46102,2.1151,1.70878,0.44952,0.54975,0.4794,0.23407,1.66594,3.90025,2.0672,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,8127.24,1.45482,2.16718,1.71059,0.43087,0.60463,0.53088,0.25832,1.60298,3.93246,2.0192,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,8406.05,1.43032,2.10022,1.70222,0.4822,0.57247,0.51303,0.24962,1.57779,3.67571,2.02911,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,8683.17,1.42412,2.09314,1.69998,0.48042,0.62498,0.53663,0.25917,1.57338,3.03538,2.00993,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,8964.88,1.42605,2.10709,1.70485,0.42436,0.6317,0.54591,0.26852,1.56498,3.34574,2.0383,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,9256.48,1.40624,2.01146,1.6701,0.4865,0.61813,0.53672,0.26046,1.58253,3.75468,2.03941,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,9544.15,1.41969,2.04342,1.67209,0.45668,0.62398,0.54745,0.26215,1.61504,3.37095,2.0545,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,9836.13,1.40068,2.01933,1.67268,0.47062,0.66882,0.56921,0.27139,1.60789,3.06578,2.00996,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
