epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.30794,1.75899,3.28296,1.90105,0.01936,0.64485,0.1657,0.05959,2.17219,3.19738,2.34092,0.000327044,0.000327044,0.000327044
2,14.6064,1.64422,2.31873,1.80634,0.21377,0.29986,0.20795,0.07987,2.28321,3.2387,2.45955,0.00065384,0.00065384,0.00065384
3,20.4788,1.59452,2.14074,1.77335,0.42276,0.32842,0.20763,0.07833,2.2743,3.41295,2.74629,0.000974035,0.000974035,0.000974035
4,26.0279,1.59612,2.08232,1.79359,0.33022,0.33516,0.27563,0.11369,2.10302,2.86318,2.36897,0.0009703,0.0009703,0.0009703
5,31.7765,1.54188,1.96136,1.73986,0.39406,0.39609,0.37215,0.16103,1.99397,2.38767,2.32308,0.0009604,0.0009604,0.0009604
6,37.3699,1.52559,1.93629,1.73848,0.28714,0.47687,0.33264,0.13588,1.98266,4.12084,2.28732,0.0009505,0.0009505,0.0009505
7,42.9397,1.49514,1.83948,1.70222,0.41544,0.51323,0.45256,0.19485,1.8438,2.08883,2.1638,0.0009406,0.0009406,0.0009406
8,48.5576,1.491,1.80249,1.69834,0.41661,0.43351,0.41932,0.18912,1.79833,2.0814,2.06975,0.0009307,0.0009307,0.0009307
9,54.1654,1.45803,1.74717,1.66874,0.43045,0.42077,0.39888,0.17187,1.92404,2.35285,2.18616,0.0009208,0.0009208,0.0009208
10,59.7802,1.46164,1.75003,1.69018,0.44391,0.53955,0.49119,0.22403,1.73781,2.23488,2.00229,0.0009109,0.0009109,0.0009109
11,65.3513,1.44647,1.71221,1.6469,0.42145,0.54291,0.45325,0.19236,1.79516,2.06929,2.05268,0.000901,0.000901,0.000901
12,70.9162,1.42065,1.67014,1.6468,0.45463,0.53371,0.51493,0.23081,1.74993,1.98195,2.038,0.0008911,0.0008911,0.0008911
13,76.5064,1.41513,1.62807,1.64737,0.45868,0.54029,0.49092,0.22457,1.76945,2.02658,2.04788,0.0008812,0.0008812,0.0008812
14,82.0348,1.39073,1.60581,1.61266,0.41761,0.51732,0.46525,0.21981,1.74943,1.94999,2.00415,0.0008713,0.0008713,0.0008713
15,87.5847,1.4113,1.63161,1.65408,0.46868,0.48941,0.48507,0.2237,1.82307,1.97165,2.08394,0.0008614,0.0008614,0.0008614
16,93.2049,1.39488,1.59959,1.63615,0.44672,0.53007,0.47802,0.21945,1.7819,1.87282,2.09133,0.0008515,0.0008515,0.0008515
17,100.252,1.35999,1.54737,1.60117,0.54365,0.49484,0.52783,0.26059,1.6697,1.888,1.97091,0.0008416,0.0008416,0.0008416
18,106.125,1.36697,1.54224,1.59856,0.53997,0.52175,0.55271,0.25363,1.7144,1.89412,1.93082,0.0008317,0.0008317,0.0008317
19,111.663,1.35369,1.50885,1.59418,0.4713,0.53655,0.50953,0.24577,1.66281,1.96999,1.90627,0.0008218,0.0008218,0.0008218
20,117.196,1.33174,1.47537,1.58021,0.48307,0.52283,0.50293,0.24053,1.67079,1.8892,1.9551,0.0008119,0.0008119,0.0008119
21,122.723,1.33863,1.48085,1.5916,0.50196,0.56402,0.55095,0.26507,1.70856,1.78468,2.03537,0.000802,0.000802,0.000802
22,128.237,1.33592,1.4936,1.59009,0.48824,0.56914,0.56392,0.27873,1.64395,1.9056,1.94083,0.0007921,0.0007921,0.0007921
23,133.816,1.33247,1.48645,1.59099,0.57484,0.59199,0.61241,0.29458,1.6349,1.70534,1.9675,0.0007822,0.0007822,0.0007822
24,139.453,1.32861,1.48243,1.58712,0.50858,0.59421,0.57946,0.28206,1.66952,1.68912,1.94954,0.0007723,0.0007723,0.0007723
25,144.988,1.31873,1.42464,1.56176,0.5929,0.5843,0.61785,0.30712,1.66126,1.70413,1.9432,0.0007624,0.0007624,0.0007624
26,150.526,1.2976,1.45799,1.56697,0.5381,0.62758,0.60056,0.29648,1.65848,1.72294,1.95926,0.0007525,0.0007525,0.0007525
27,155.985,1.29984,1.40171,1.55052,0.56433,0.57896,0.61988,0.30693,1.65414,1.58302,1.95037,0.0007426,0.0007426,0.0007426
28,161.474,1.27191,1.40472,1.5541,0.57215,0.60892,0.61227,0.29515,1.67913,1.64491,1.94574,0.0007327,0.0007327,0.0007327
29,166.971,1.29601,1.41585,1.56743,0.54566,0.5811,0.58573,0.29079,1.67517,1.72539,1.90097,0.0007228,0.0007228,0.0007228
30,172.521,1.29825,1.40965,1.55723,0.52181,0.57232,0.58309,0.28361,1.70638,1.6726,1.98036,0.0007129,0.0007129,0.0007129
31,178.025,1.29582,1.38294,1.53304,0.53143,0.59676,0.60452,0.28233,1.72536,1.66017,1.9704,0.000703,0.000703,0.000703
32,183.517,1.28684,1.36338,1.53947,0.55308,0.58936,0.60984,0.30711,1.57837,1.63761,1.86946,0.0006931,0.0006931,0.0006931
33,189.001,1.27354,1.35706,1.53853,0.55648,0.64441,0.63682,0.3199,1.66882,1.57157,1.92681,0.0006832,0.0006832,0.0006832
34,194.492,1.28865,1.36353,1.53359,0.61071,0.63269,0.63883,0.32037,1.63411,1.55349,1.92093,0.0006733,0.0006733,0.0006733
