epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.8941,2.15091,4.13814,1.8062,0.00263,0.17099,0.0313,0.0119,2.26752,4.09195,2.0538,0.000987342,0.000329114,0.000987342,0.000329114,0.000987342,0.000329114,0.000987342,0.000329114
2,85.8744,1.97284,4.03425,1.67687,0.00675,0.40366,0.05311,0.02509,2.06137,3.86341,1.79737,0.00196767,0.000655889,0.00196767,0.000655889,0.00196767,0.000655889,0.00196767,0.000655889
3,103.409,1.8599,3.83408,1.57857,0.9119,0.03995,0.16982,0.08131,1.92048,3.5279,1.68144,0.00292819,0.000976064,0.00292819,0.000976064,0.00292819,0.000976064,0.00292819,0.000976064
4,119.27,1.81593,3.34459,1.54206,0.46199,0.25791,0.26358,0.12271,1.94637,2.99011,1.68664,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,135.113,1.79887,2.75888,1.54551,0.50515,0.35661,0.35763,0.1737,1.83927,2.63441,1.63159,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,151.13,1.80937,2.43103,1.54651,0.564,0.40479,0.41866,0.19585,1.86151,2.40726,1.62849,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,167.265,1.76481,2.1284,1.53239,0.61454,0.45855,0.46034,0.20944,1.89261,2.16852,1.62503,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,183.009,1.72215,1.93729,1.51308,0.4567,0.5336,0.49554,0.23133,1.84943,1.95227,1.60251,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,199.19,1.71087,1.8094,1.48903,0.46278,0.58787,0.52777,0.25037,1.82649,1.9232,1.57717,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,215.336,1.66574,1.71702,1.48471,0.6708,0.53883,0.58206,0.28512,1.76128,1.70984,1.56183,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,231.395,1.65501,1.63114,1.46579,0.69115,0.51287,0.55127,0.27039,1.73628,1.7333,1.5312,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,247.526,1.62966,1.61367,1.46545,0.55232,0.61123,0.60976,0.30243,1.70561,1.65836,1.54941,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,263.604,1.59224,1.53899,1.44085,0.5051,0.62331,0.56371,0.27995,1.71049,1.73703,1.51888,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,279.469,1.59576,1.52941,1.4378,0.6007,0.60356,0.62292,0.31184,1.66471,1.62028,1.51083,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,295.605,1.57679,1.49994,1.42366,0.60792,0.59528,0.63035,0.324,1.66101,1.60793,1.51799,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,311.243,1.55957,1.48308,1.42736,0.5366,0.54817,0.56856,0.27637,1.72373,1.67965,1.50198,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,327.036,1.54222,1.45991,1.4241,0.60841,0.57153,0.62482,0.31717,1.63072,1.60674,1.48422,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,342.109,1.53337,1.45067,1.40092,0.527,0.59591,0.62141,0.31259,1.66006,1.63893,1.47822,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,358.603,1.53499,1.4506,1.40164,0.60812,0.57167,0.6286,0.32693,1.62148,1.60282,1.46382,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
