epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,147.656,2.07231,3.89448,2.17078,0.00596,0.52645,0.02972,0.00866,2.40732,4.89566,2.70927,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804,0.000998413,0.000332804
2,282.156,1.84183,3.785,2.00585,0.70971,0.0428,0.04515,0.01665,2.10934,4.5778,2.54558,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543,0.00197863,0.000659543
3,412.8,1.74959,3.58549,1.9377,0.08542,0.16365,0.08448,0.03612,1.91725,4.57695,2.3504,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681,0.00293904,0.000979681
4,545.557,1.69754,3.38717,1.91227,0.1546,0.19709,0.1712,0.07719,1.94057,4.54165,2.36856,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,678.112,1.66259,3.16271,1.88473,0.45009,0.29894,0.26438,0.12102,1.81267,4.79051,2.27582,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,812.121,1.64848,2.94596,1.87467,0.41053,0.39245,0.30938,0.1443,1.78849,6.69474,2.26412,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,941.606,1.63505,2.80207,1.85824,0.47154,0.42089,0.32893,0.15094,1.78832,6.84372,2.25544,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,1073.69,1.59278,2.64259,1.82292,0.31618,0.55245,0.39344,0.17943,1.73071,4.73314,2.16517,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,1208.31,1.57417,2.5698,1.80903,0.31296,0.57837,0.40864,0.17899,1.75478,5.08909,2.15359,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,6653.07,1.54907,2.49235,1.77681,0.33349,0.58651,0.41737,0.19242,1.68735,4.89547,2.06903,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,6857.79,1.53437,2.46618,1.77558,0.34639,0.55593,0.44979,0.2009,1.70027,4.75673,2.0946,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,7063.54,1.53601,2.33413,1.75131,0.33942,0.57896,0.445,0.21283,1.67401,4.46323,2.09687,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,10638.1,1.51384,2.32492,1.75318,0.36271,0.59901,0.48464,0.231,1.63176,4.29142,2.05235,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,10921.3,1.47717,2.2738,1.71593,0.35793,0.57493,0.45196,0.21521,1.60712,4.55307,2.05203,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,11204.7,1.47314,2.22063,1.72922,0.40392,0.63795,0.50555,0.23468,1.60976,4.13455,2.03386,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,11490,1.45802,2.2019,1.71154,0.41199,0.62745,0.51389,0.2489,1.58688,4.04686,2.0673,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,11772.9,1.4644,2.16308,1.7236,0.38479,0.59946,0.474,0.22446,1.69016,3.81004,2.08005,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,12058,1.4509,2.14898,1.70942,0.41236,0.61634,0.50742,0.24171,1.60905,4.72596,2.01107,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
